Sample	Population	Latitude	Longitude	Age (BP)	Inversion	Datatype	Genome-Wide Std Dev	H1 Avg CN	H2 Avg CN	H1D	H2D
VK348	Yamnaya	56.88	16.72	900	H1H2	fastq_samples	0.2758	1.997	3.0753	0	1
VK290	Yamnaya	54.89	10.74	900	H1H2	fastq_samples	0.2621	2.0853	3.1001	0	1
NEO814	Admixed	55.59	11.54	7125	H1H1	fastq_samples	1.8443	3.2463	3.1021	-2	-2
VK395	Yamnaya	58.38	13.65	800	H1H1	fastq_samples	0.224	3.0825	3.0313	1	0
VK23	Yamnaya	60	32.3	800	H1H1	fastq_samples	0.4468	1.6764	2.1637	0	0
VK548	Yamnaya	63.44	11.22	1000	H1H1	fastq_samples	0.1866	2.0737	2.0039	0	0
VK517	Admixed	59.86	17.65	800	H1H1	fastq_samples	0.2692	3.008	3.1526	1	0
VK257	Yamnaya	50.67	-2.47	953	H1H1	fastq_samples	0.2445	3.905	3.9432	2	0
NEO128	Admixed	49.02	16.38	7146	H1H1	fastq_samples	1.0872	2.9071	2.3894	-2	-2
VK223	Yamnaya	54.78	31.87	850	H1H1	fastq_samples	0.4521	2.0431	2.1962	0	0
VK373	Yamnaya	55.5	10.33	900	H1H2	fastq_samples	0.2878	1.9894	3.101	0	1
VK368	Yamnaya	54.87	10.72	900	H1H1	fastq_samples	0.2698	3.1684	3.1463	1	0
VK46	Yamnaya	61.85	-6.8	250	H1H2	fastq_samples	0.176	1.9092	2.8604	0	1
NEO259	Admixed	58.16	13.45	4960	H1H1	fastq_samples	1.1595	2.4554	3.1315	-2	-2
VK371	Yamnaya	55.5	10.33	1065	H1H1	fastq_samples	0.3494	2.0689	2.2101	0	0
NEO790	Early Farmer	55.71	12.27	5663	H2H2	fastq_samples	0.3967	2.483	3.4181	0	1
VK303	Yamnaya	58.38	13.65	800	H1H1	fastq_samples	0.235	4.3048	4.007	2	0
NEO60	Asia	68.97	33.08	3301	H1H1	fastq_samples	0.4276	2.5893	2.268	-1	-1
NEO938	Hunter-Gatherer (W)	43.4	-4.71	7878	H1H1	fastq_samples	0.3841	1.8178	2.1101	0	0
VK535	Early Farmer	41.42	15.58	713	H1H2	fastq_samples	0.2239	2.0948	2.9982	0	1
NEO100	Hunter-Gatherer (E)	51.57	53.68	9929	H1H1	fastq_samples	1.7603	3.0344	3.6057	-2	-2
NEO875	Yamnaya	55.9	9.99	3970	H1H1	fastq_samples	0.5173	2.3533	2.4661	-2	-2
VK156	Yamnaya	52.7	18.9	850	H1H2	fastq_samples	0.3013	1.907	3.0277	0	1
NEO197	Hunter-Gatherer (E)	56.78	40.45	5245	H1H1	fastq_samples	0.3814	2.185	2.228	0	0
NEO140	Early Farmer	46.37	20.42	6718	H1H1	fastq_samples	0.684	3.8258	3.3747	-2	-2
NEO92	Yamnaya	55.4	12.27	4188	H1H1	fastq_samples	0.319	1.9513	2.0139	0	0
NEO598	Hunter-Gatherer (W)	55.95	11.9	6075	H1H1	fastq_samples	0.3673	2.1094	2.2268	0	0
VK170	Yamnaya	54.08	-4.68	950	H1H1	fastq_samples	0.281	2.1872	2.1088	0	0
VK167	Admixed	51.76	-1.26	1010	H1H1	fastq_samples	0.2667	1.9839	2.164	0	0
VK124	Yamnaya	63.43	10.39	650	H1H1	fastq_samples	0.6415	2.2271	2.3728	-2	-2
VK113	Yamnaya	63.43	10.39	650	H1H1	fastq_samples	0.753	4.0458	3.0926	-2	-2
VK454	Yamnaya	57.63	18.28	975	H1H2	fastq_samples	0.4713	2.0238	3.1041	0	1
VK203	Yamnaya	59.13	-3.32	900	H1H1	fastq_samples	0.2719	3.2407	2.9315	1	0
NEO568	Hunter-Gatherer (W)	56.81	9.18	6586	H1H1	fastq_samples	0.2072	2.041	2.0835	0	0
VK480	Yamnaya	58.17	22.25	1100	H1H1	fastq_samples	0.2639	3.1113	3.0616	1	0
VK507	Yamnaya	58.17	22.25	1100	H1H1	fastq_samples	0.2805	3.1403	3.055	1	0
RISE548	Yamnaya	46.54	43.7	4850	H1H1	fastq_samples	0.3113	3.136	2.823	1	0
VK370	Yamnaya	55.5	10.33	900	H1H1	fastq_samples	0.249	3.1559	3.0979	1	0
VK481	Yamnaya	58.17	22.25	1100	H1H2	fastq_samples	0.2145	2.1249	2.9707	0	1
NEO307	Hunter-Gatherer (W)	57.78	25.23	7495	H1H1	fastq_samples	0.3502	2.2209	2.0914	0	0
NEO915	Admixed	55.71	76.78	5733	NA	fastq_samples	1.4438	1.5106	2.349	-2	-2
VK438	Yamnaya	57.34	18.19	975	H1H1	fastq_samples	0.5065	3.0694	3.3275	-2	-2
VK187	Yamnaya	60.99	-45.42	849	H1H1	fastq_samples	0.2823	2.9712	2.7803	1	0
NEO115	Asia	49.9	108	7569	H1H1	fastq_samples	0.2178	1.9163	1.9269	0	0
RISE373	Early Farmer	46.22	20.2	3741	H1H2	fastq_samples	0.6929	3.3507	4.2545	-2	-2
NEO509	Hunter-Gatherer (E)	48.4	35.16	4065	H1H1	fastq_samples	0.1965	3.0521	3.0281	1	0
NEO902	Admixed	52.43	76.84	1989	H1H1	fastq_samples	1.1252	2.3066	2.5276	-2	-2
VK414	Yamnaya	61.88	8.4	850	H1H2	fastq_samples	0.2618	2.1269	3.062	0	1
NEO210	Admixed	50.07	39.89	7084	NA	fastq_samples	1.4677	3.1051	2.6741	-2	-2
NEO207	Admixed	50.07	39.89	7098	H1H1	fastq_samples	1.0313	3.7338	3.3898	-2	-2
NEO19	Hunter-Gatherer (W)	56.27	10.47	8163	H1H1	fastq_samples	0.4652	2.0815	1.9438	0	0
VK468	Yamnaya	57.63	18.28	975	H1H1	fastq_samples	0.1751	2.1034	2.1419	0	0
VK396	Yamnaya	58.38	13.65	800	H1H1	fastq_samples	0.2351	3.1423	3.0185	1	0
VK388	Yamnaya	68.34	15.66	700	H1H1	fastq_samples	0.2984	3.0585	3.0068	1	0
NEO79	Asia	53.1	90.2	4631	H1H1	fastq_samples	0.3214	1.8115	2.036	0	0
VK430	Yamnaya	57.34	18.19	975	H1H2	fastq_samples	0.5394	2.722	3.7111	-2	-2
NEO658	Hunter-Gatherer (W)	44.54	22.04	8668	H1H1	fastq_samples	0.3243	2.1868	2.2867	0	0
VK139	Yamnaya	55.5	10.33	900	H1H1	fastq_samples	0.3855	4.2127	4.108	2	0
NEO306	Yamnaya	59.41	27.03	4472	H1H1	fastq_samples	0.2094	3.0835	3.0403	1	0
NEO23	Early Farmer	55.6	11.31	5533	H1H2	fastq_samples	0.2527	2.0304	2.8209	0	1
RISE483	Admixed	47.34	18.9	3700	H1H1	fastq_samples	1.2867	4.9777	5.1687	-2	-2
VK486	Yamnaya	58.17	22.25	1100	H1H1	fastq_samples	0.1996	2.0346	2.1999	0	0
NEO843	Asia	58.75	102.63	7066	H1H1	fastq_samples	0.3048	2.0304	2.1664	0	0
NEO738	Yamnaya	56.36	10.59	4103	H1H1	fastq_samples	0.3497	2.2954	2.4204	0	0
VK40	Yamnaya	58.38	13.65	800	H1H2	fastq_samples	0.2385	1.9259	2.8007	0	1
VK455	Yamnaya	57.34	18.19	975	H1H2	fastq_samples	0.2481	3.0241	3.9753	1	1
VK160	Yamnaya	58.78	36.16	750	H1H1	fastq_samples	0.2316	2.9954	2.8868	1	0
NEO555	Hunter-Gatherer (E)	60.41	38.93	8280	H1H1	fastq_samples	0.2363	2.0238	2.0942	0	0
VK549	Yamnaya	58.17	22.25	1100	H1H2	fastq_samples	0.2013	2.0882	3.0205	0	1
RISE97	Yamnaya	55.56	13.06	3905	H1H2	fastq_samples	0.3821	2.0263	2.9956	0	1
RISE397	Yamnaya	39.2	46.4	2901.5	H1H1	fastq_samples	0.5725	3.0072	2.9714	-2	-2
VK94	Yamnaya	55.62	11.97	900	H1H1	fastq_samples	0.7189	3.345	3.2309	-2	-2
NEO261	Yamnaya	57.74	11.74	3895	H1H1	fastq_samples	0.2062	2.0262	2.058	0	0
VK531	Hunter-Gatherer (E)	69.47	18	4350	H1H1	fastq_samples	0.2362	2.107	2.1116	0	0
NEO268	Admixed	47.43	34.27	7245	H1H1	fastq_samples	0.8738	2.4051	2.4602	-2	-2
VK515	Yamnaya	67.28	14.39	900	H1H2	fastq_samples	0.3375	2.2859	3.0057	0	1
NEO649	Yamnaya	43.4	-4.71	4117	H1H1	fastq_samples	0.6155	3.1131	3.5102	-2	-2
NEO888	Admixed	54.73	11.99	5383	NA	fastq_samples	1.6301	2.9676	3.0363	-2	-2
NEO554	Admixed	60.45	38.63	8063	NA	fastq_samples	1.2403	2.8678	2.5464	-2	-2
NEO43	Early Farmer	55.99	10.25	5067	H1H2	fastq_samples	0.9582	2.6353	4.1344	-2	-2
VK33	Admixed	58.38	13.65	800	H1H1	fastq_samples	0.3119	3.0968	3.0866	1	0
VK398	Yamnaya	58.38	13.65	800	H1H1	fastq_samples	0.25	2.2386	2.2007	0	0
VK406	Yamnaya	58.38	13.65	800	H1H1	fastq_samples	0.2316	3.0985	3.1037	1	0
VK219	Yamnaya	60	32.3	958	H1H1	fastq_samples	0.2851	2.9782	3.1645	1	0
NEO609	Early Farmer	38.68	-9.16	4333	H1H1	fastq_samples	0.7382	1.8931	2.4555	-2	-2
NEO912	Asia	55.71	76.78	5539	H1H1	fastq_samples	0.3579	1.9046	2.3086	0	0
NEO68	Admixed	56.44	74.91	4899	H1H1	fastq_samples	0.7429	1.9166	2.065	-2	-2
NEO934	Admixed	54.88	10.78	3809	H1H1	fastq_samples	0.9916	2.5331	2.5825	-2	-2
VK533	Yamnaya	56.81	16.73	900	H1H1	fastq_samples	0.1489	2.01	2.0481	0	0
VK344	Yamnaya	56.33	16.41	900	H1H1	fastq_samples	0.2549	1.9618	2.1842	0	0
VK433	Yamnaya	57.34	18.19	975	H1H1	fastq_samples	0.1919	2.1051	2.0743	0	0
NEO202	Hunter-Gatherer (E)	61.27	38.91	10884	H1H1	fastq_samples	0.1993	2.0457	1.9994	0	0
NEO672	Hunter-Gatherer (W)	44.64	22.66	8814	H1H1	fastq_samples	0.447	2.028	2.0426	0	0
NEO550	Admixed	48.2	35.22	10655	NA	fastq_samples	1.6775	3.0444	3.3538	-2	-2
NEO795	Admixed	55.28	11.88	5333	NA	fastq_samples	4.1236	5.5351	6.6984	-2	-2
VK490	Admixed	58.17	22.25	1100	H1H1	fastq_samples	0.3103	1.8889	2.0423	0	0
NEO917	Asia	55.71	76.78	5463	H1H1	fastq_samples	0.2457	2.1814	2.1802	0	0
NEO199	Asia	52.2	107	7171	H1H1	fastq_samples	0.4089	2.0414	2.1441	0	0
VK338	Yamnaya	54.87	10.72	900	H1H1	fastq_samples	0.3673	3.0855	3.0311	1	0
VK554	Yamnaya	58.17	22.25	1100	H1H1	fastq_samples	0.2572	3.2787	2.989	1	0
NEO278	Admixed	48.97	38.24	2746	H1H2	fastq_samples	0.9644	2.2481	2.5201	-2	-2
VK134	Yamnaya	55.5	10.33	900	H1H2	fastq_samples	0.3873	2.1304	3.1516	0	1
VK516	Yamnaya	63.7	9.75	900	H1H1	fastq_samples	0.2347	2.1093	2.0969	0	0
VK336	Yamnaya	56.81	16.73	1097	H2H2	fastq_samples	0.2258	1.9671	3.9075	0	2
RISE525	Yamnaya	53.04	57.07	3000	H1H1	fastq_samples	0.4794	3.2089	3.1928	1	0
RISE601	Asia	50.21	85.73	2450	H1H1	fastq_samples	0.3287	1.8826	2.0304	0	0
VK427	Yamnaya	58.38	13.65	800	H1H2	fastq_samples	0.7291	2.2856	3.2258	-2	-2
NEO46	Admixed	55.59	13.11	5563	H1H1	fastq_samples	1.1392	2.2609	2.6667	-2	-2
VK353	Yamnaya	56.42	16.43	901	H2H2	fastq_samples	0.2256	1.9473	3.7202	0	2
NEO70	Asia	55.96	92.79	2760	H1H2	fastq_samples	0.3304	1.9699	2.7592	0	1
NEO501	Hunter-Gatherer (E)	48.2	35.22	10623	H1H1	fastq_samples	0.6357	2.3004	2.3045	-2	-2
VK540	Admixed	51.37	31.18	800	H1H2	fastq_samples	0.3213	1.9523	3.0437	0	1
VK25	Admixed	61.85	-6.8	250	H1H2	fastq_samples	0.2159	1.987	2.7783	0	1
VK404	Yamnaya	58.38	13.65	800	H1H1	fastq_samples	0.2302	4.294	4.0508	2	0
VK174	Yamnaya	51.76	-1.26	1010	H1H1	fastq_samples	0.2719	3.2604	3.1196	1	0
VK262	Yamnaya	50.67	-2.47	953	H1H2	fastq_samples	0.2389	1.8527	3.0488	0	1
VK286	Yamnaya	54.87	10.72	900	H1H1	fastq_samples	0.328	1.8446	2.1133	0	0
VK463	Yamnaya	57.34	18.19	975	H1H1	fastq_samples	0.4851	3.157	3.0209	1	0
NEO209	Admixed	50.07	39.89	7335	NA	fastq_samples	1.136	4.0323	3.6928	-2	-2
RISE516	Admixed	53.16	90.21	4068.5	H1H1	fastq_samples	0.6491	2.4401	2.4695	-2	-2
VK322	Yamnaya	55.33	8.76	866	H1H2	fastq_samples	0.236	3.0678	3.9928	1	1
VK57	Yamnaya	57.34	18.19	975	H1H1	fastq_samples	0.5672	2.0195	2.072	-2	-2
VK525	Yamnaya	66.18	12.72	1000	H1H2	fastq_samples	0.2837	2.1217	3.0839	0	1
VK172	Yamnaya	51.76	-1.26	1010	H1H1	fastq_samples	0.2503	4.152	3.9554	2	0
NEO586	Hunter-Gatherer (W)	56.37	10.57	7031	H1H1	fastq_samples	0.6279	2.4704	2.0301	-2	-2
RISE174	Yamnaya	55.55	13.1	1431	H1H1	fastq_samples	0.8904	2.714	2.6103	-2	-2
VK60	Yamnaya	57.34	18.19	975	H1H1	fastq_samples	0.3411	3.2279	3.0715	1	0
VK434	Yamnaya	57.34	18.19	975	H1H1	fastq_samples	0.4891	3.155	3.0672	1	0
VK390	Yamnaya	59.22	9.59	1350	H2H2	fastq_samples	0.244	2.0917	4.1165	0	2
NEO536	Hunter-Gatherer (E)	59.7	39.5	9541	H1H1	fastq_samples	0.7016	2.2862	2.2404	-2	-2
VK483	Yamnaya	58.17	22.25	1100	H1H1	fastq_samples	0.1908	1.9788	2.0606	0	0
VK16	Yamnaya	60	32.3	839	H1H1	fastq_samples	0.5806	2.2741	2.1862	-2	-2
NEO180	Hunter-Gatherer (E)	56.78	40.45	5947	H1H1	fastq_samples	0.4628	1.7618	2.1615	0	0
VK266	Yamnaya	57.18	13.93	900	H1H2	fastq_samples	0.2822	2.8541	3.7712	1	1
VK300	Yamnaya	55.95	10.2	1075	H1H1	fastq_samples	0.4299	2.2507	2.0758	0	0
NEO119	Early Farmer	44.47	4.77	4382	H1H1	fastq_samples	0.8374	2.5171	2.4811	-2	-2
VK71	Yamnaya	55.87	12.08	1200	H1H2	fastq_samples	0.4952	2.0911	3.057	-2	-2
NEO166	Hunter-Gatherer (E)	53	40.4	5668	H1H2	fastq_samples	0.2305	1.9523	2.9123	0	1
NEO918	Asia	55.71	76.78	5460	H1H1	fastq_samples	0.8764	2.9519	2.7331	-2	-2
NEO110	Admixed	40.1	44.29	7594	H1H1	fastq_samples	1.0415	2.2108	2.5491	-2	-2
VK521	Yamnaya	55.64	12.24	1650	H1H1	fastq_samples	0.1508	2.0773	2.0407	0	0
VK506	Yamnaya	58.17	22.25	1100	H1H2	fastq_samples	0.2204	3.1318	3.9356	1	1
VK362	Yamnaya	54.87	10.72	900	H1H2	fastq_samples	0.379	2.1836	2.8248	0	1
NEO78	Asia	54.97	73.37	6956	H1H1	fastq_samples	0.2383	2.0323	2.0905	0	0
NEO13	Admixed	56.91	9.58	9507	NA	fastq_samples	1.8134	2.6452	1.6689	-2	-2
NEO130	Admixed	46.25	20.26	7804	H1H2	fastq_samples	1.3939	3.1648	3.1758	-2	-2
VK509	Yamnaya	58.17	22.25	1100	H1H2	fastq_samples	0.2203	1.9943	3.0536	0	1
NEO25	Early Farmer	56.43	10.79	4956	H1H1	fastq_samples	0.4346	2.0619	2.086	0	0
VK466	Yamnaya	54.78	31.87	850	H1H1	fastq_samples	0.658	2.0938	2.3999	-2	-2
NEO28	Early Farmer	55.91	12.31	5459	H1H2	fastq_samples	0.3866	1.826	2.9971	0	1
NEO223	Admixed	58.17	13.57	3975	NA	fastq_samples	1.3807	1.8627	4.1337	-2	-2
NEO41	Admixed	55.99	10.25	5462	NA	fastq_samples	3.0659	2.6819	5.4755	-2	-2
NEO891	Early Farmer	55.73	12.1	5661	H1H2	fastq_samples	0.5008	2.5802	3.5578	-2	-2
RISE559	Early Farmer	48.33	10.9	4284	H1H1	fastq_samples	0.5795	2.4401	2.225	-2	-2
NEO735	Yamnaya	55.23	11.3	3972	H1H2	fastq_samples	0.332	2.3757	3.1849	0	1
NEO39	Early Farmer	55.57	13.04	5074	H1H1	fastq_samples	0.7353	2.3173	2.3308	-2	-2
NEO732	Admixed	55.77	11.39	6815	H1H1	fastq_samples	0.7869	3.1494	2.5663	-2	-2
NEO597	Early Farmer	55.59	11.57	5210	H1H1	fastq_samples	0.7109	2.4459	2.5489	-2	-2
NEO123	Hunter-Gatherer (W)	54.96	11.85	8182	H1H1	fastq_samples	0.5299	2.211	2.2809	-2	-2
VK363	Yamnaya	54.87	10.72	900	H1H1	fastq_samples	0.246	3.1764	3.0442	1	0
VK155	Admixed	52.7	18.9	850	H1H2	fastq_samples	1.3567	2.9196	4.4229	-2	-2
NEO494	Admixed	48.2	35.22	10743	H1H1	fastq_samples	4.5859	3.5563	5.9832	-2	-2
VK236	Admixed	61.85	-6.8	250	H1H2	fastq_samples	0.2365	1.9788	2.8515	0	1
NEO508	Admixed	48.13	35.08	6308	H1H1	fastq_samples	0.8044	2.9017	2.4307	-2	-2
VK400	Yamnaya	58.38	13.65	800	H1H1	fastq_samples	0.2483	2.1169	2.0791	0	0
VK544	Yamnaya	53.39	-6.3	1000	H1H2	fastq_samples	0.2101	2.9929	3.9052	1	1
NEO650	Admixed	43.4	-4.71	4109	H1H1	fastq_samples	0.7111	2.8788	2.679	-2	-2
VK238	Yamnaya	61.85	-6.8	250	H1H1	fastq_samples	0.2358	2.1207	2.1255	0	0
VK65	Yamnaya	55.87	12.08	1200	H1H1	fastq_samples	0.3855	4.0025	4.0216	2	0
NEO841	Admixed	58.75	102.63	7225	H1H1	fastq_samples	1.1666	2.5089	2.2188	-2	-2
NEO102	Admixed	56.02	92.87	5780	NA	fastq_samples	1.5186	2.0563	1.9189	-2	-2
NEO951	Yamnaya	57.29	10.03	3242	H1H1	fastq_samples	0.4321	1.8994	2.0187	0	0
NEO27	Hunter-Gatherer (E)	57.74	13.4	9694	H1H1	fastq_samples	0.7835	2.0397	2.2869	-2	-2
NEO922	Asia	55.71	76.78	7567	H1H1	fastq_samples	0.7718	2.4764	2.4032	-2	-2
NEO569	Admixed	56.81	9.18	6142	H1H1	fastq_samples	0.3547	1.9908	2.2058	0	0
VK355	Yamnaya	56.29	16.41	1102	H1H2	fastq_samples	0.2286	3.1661	3.8968	1	1
NEO516	Hunter-Gatherer (E)	48.4	35.16	7095	H1H1	fastq_samples	0.4527	2.1411	2.3937	0	0
RISE502	Asia	51.91	88.57	3351	H1H1	fastq_samples	0.2204	2.1355	1.9715	0	0
NEO302	Hunter-Gatherer (E)	47.95	35.39	6826	H1H1	fastq_samples	0.174	2.1104	2.0976	0	0
NEO201	Admixed	52.2	107	7037	H1H1	fastq_samples	0.3421	1.9405	2.0922	0	0
NEO855	Hunter-Gatherer (W)	56.4	10.72	6302	H1H1	fastq_samples	0.2738	2.1243	2.0747	0	0
VK542	Yamnaya	51.49	31.31	800	H1H1	fastq_samples	0.2352	2.112	2.1107	0	0
VK316	Yamnaya	55.51	10.45	900	H1H1	fastq_samples	0.2591	3.1587	3.0767	1	0
VK459	Yamnaya	57.34	18.19	975	H1H1	fastq_samples	0.5417	3.1411	3.3981	-2	-2
NEO852	Hunter-Gatherer (W)	56.03	10.26	6308	H1H1	fastq_samples	0.6151	2.1989	2.1659	-2	-2
VK296	Yamnaya	55.15	11.87	1230	H1H2	fastq_samples	0.3898	2.8474	3.7962	1	1
VK53	Yamnaya	57.63	18.28	975	H1H2	fastq_samples	0.3205	2.0198	2.0907	0	0
NEO120	Admixed	44.47	4.77	3365	H1H2	fastq_samples	1.0286	4.2911	4.902	-2	-2
VK478	Yamnaya	57.63	18.28	975	H1H2	fastq_samples	0.2249	2.147	3.035	0	1
NEO502	Hunter-Gatherer (E)	48.13	35.08	6610	H1H1	fastq_samples	0.2529	2.1812	2.2361	0	0
VK289	Yamnaya	54.8	10.69	1000	H1H1	fastq_samples	0.3227	2.8364	3.0424	1	0
VK545	Yamnaya	53.34	-6.27	1185	H1H1	fastq_samples	0.1958	2.0756	2.0357	0	0
NEO164	Admixed	53	40.4	5671	H1H1	fastq_samples	0.5538	2.0344	2.1073	-2	-2
NEO595	Early Farmer	55.79	11.29	5452	H1H2	fastq_samples	0.5556	2.0879	2.9386	-2	-2
VK335	Yamnaya	56.73	16.72	900	H1H2	fastq_samples	0.238	2.9687	3.7628	1	1
NEO38	Admixed	55.57	13.04	5072	H1H1	fastq_samples	0.8587	2.0892	2.7032	-2	-2
VK51	Yamnaya	57.63	18.28	975	H1H2	fastq_samples	0.4219	2.0597	3.2892	0	1
VK514	Yamnaya	67.91	15.13	1100	H1H1	fastq_samples	0.2463	2.8555	2.9295	1	0
VK537	Early Farmer	41.34	15.26	700	H1H1	fastq_samples	0.2221	3.0152	3.1134	1	0
NEO122	Hunter-Gatherer (W)	54.96	11.85	8146	H1H1	fastq_samples	0.5944	2.4048	2.2764	-2	-2
RISE487	Admixed	45.26	10.38	5245	H1H1	fastq_samples	0.4261	2.0138	2.0447	0	0
VK429	Yamnaya	57.34	18.19	975	H1H2	fastq_samples	0.1804	2.0194	2.989	0	1
NEO601	Admixed	55.76	12.24	5753	H1H1	fastq_samples	1.0241	2.4649	2.406	-2	-2
NEO170	Hunter-Gatherer (E)	53	40.4	5562	H1H1	fastq_samples	0.4336	2.1089	1.97	0	0
NEO630	Early Farmer	58.73	-2.94	4898	H1H1	fastq_samples	0.6128	2.2392	2.4232	-2	-2
NEO300	Hunter-Gatherer (E)	47.95	35.39	6678	H1H1	fastq_samples	0.247	2.2575	2.2954	0	0
VK550	Yamnaya	58.17	22.25	1100	H2H2	fastq_samples	0.1968	2.0463	3.9577	0	2
NEO149	Admixed	46.37	20.42	6980	H1H2	fastq_samples	0.7994	2.1516	3.2287	-2	-2
VK261	Yamnaya	50.67	-2.47	953	H1H1	fastq_samples	0.2415	2.9321	2.9461	1	0
NEO925	Early Farmer	54.77	10.68	4947	H1H1	fastq_samples	0.4875	2.2567	2.229	0	0
VK393	Yamnaya	60.84	11	900	H1H1	fastq_samples	0.29	3.0198	3.0174	1	0
VK214	Yamnaya	55.73	12.12	3782	H1H1	fastq_samples	0.6304	3.3415	2.8804	-2	-2
VK426	Yamnaya	58.38	13.65	800	H1H2	fastq_samples	0.677	2.4082	3.2662	-2	-2
NEO566	Admixed	55.48	11.58	5130	NA	fastq_samples	30.6107	8.2211	9.0767	-2	-2
VK202	Yamnaya	59.13	-3.32	900	H1H2	fastq_samples	0.2329	2.9799	3.8637	1	1
RISE602	Asia	50.62	86.46	2450	H1H1	fastq_samples	0.3042	2.2293	2.0026	0	0
VK268	Yamnaya	57.18	13.93	900	NA	fastq_samples	0.6149	2.1961	1.9842	-2	-2
VK409	Yamnaya	60	32.3	800	H1H1	fastq_samples	0.6801	2.1259	2.275	-2	-2
VK90	Yamnaya	55.6	11.95	1075	H2H2	fastq_samples	0.4712	2.2271	4.0225	0	2
NEO227	Yamnaya	58.17	13.57	3948	H1H1	fastq_samples	0.8123	2.2821	2.3218	-2	-2
VK258	Yamnaya	50.67	-2.47	953	H1H2	fastq_samples	0.2541	2.1443	2.9878	0	1
VK380	Yamnaya	57.34	17.02	900	H1H1	fastq_samples	0.7754	2.4938	2.2138	-2	-2
VK477	Yamnaya	57.63	18.28	975	H1H2	fastq_samples	0.2778	2.1634	2.9839	0	1
NEO77	Admixed	56.44	74.91	4735	H1H1	fastq_samples	0.5174	2.3717	2.2528	-2	-2
VK392	Yamnaya	59.58	7.92	1000	H1H2	fastq_samples	0.2817	1.9358	2.9632	0	1
VK495	Yamnaya	58.17	22.25	1100	H1H1	fastq_samples	0.2331	3.0163	2.9719	1	0
VK244	Yamnaya	61.85	-6.8	250	H1H1	fastq_samples	0.357	2.1985	2.0324	0	0
VK114	Yamnaya	63.43	10.39	650	H1H1	fastq_samples	0.6344	3.4737	3.1348	-2	-2
VK312	Yamnaya	55.05	10.53	1075	H1H2	fastq_samples	0.5225	2.1909	3.1292	-2	-2
VK443	Yamnaya	57.34	17.02	900	H1H1	fastq_samples	0.2112	2.0324	2.1208	0	0
NEO886	Early Farmer	54.99	12.42	5457	H1H1	fastq_samples	0.5979	2.2766	2.7044	-2	-2
NEO687	Hunter-Gatherer (E)	57.58	58.2	5446	H1H1	fastq_samples	0.6484	2.3756	2.3013	-2	-2
VK424	Yamnaya	58.38	13.65	800	H1H1	fastq_samples	0.6765	3.0428	3.4433	-2	-2
RISE240	Yamnaya	46.58	43.68	4706	H1H2	fastq_samples	1.1477	2.3701	4.0101	-2	-2
VK241	Yamnaya	61.85	-6.8	250	H1H1	fastq_samples	0.2985	2.9965	3.0855	1	0
NEO819	Admixed	33.76	47.1	9344	H1H1	fastq_samples	0.5264	3.1009	3.4777	-2	-2
VK145	Yamnaya	51.76	-1.26	1010	H1H1	fastq_samples	0.2379	2.1569	2.1099	0	0
VK330	Yamnaya	55.33	8.76	861	H1H1	fastq_samples	0.2525	2.0593	2.1557	0	0
VK367	Yamnaya	54.87	10.72	900	H1H1	fastq_samples	0.2967	2.0733	2.1278	0	0
NEO254	Hunter-Gatherer (W)	55.4	10.13	10463	H1H1	fastq_samples	0.4257	2.2305	2.0185	0	0
NEO757	Early Farmer	55.9	11.12	5452	H1H2	fastq_samples	1.0712	2.1695	3.9873	-2	-2
VK328	Yamnaya	55.33	8.76	1079	H1H1	fastq_samples	0.2453	2.3088	2.2839	0	0
NEO717	Early Farmer	58.73	-2.94	4893	H1H2	fastq_samples	0.4256	2.1712	3.1394	0	1
VK207	Yamnaya	59.13	-3.32	900	H1H2	fastq_samples	0.3609	2.0555	3.1674	0	1
VK259	Yamnaya	50.67	-2.47	953	H1H1	fastq_samples	0.2306	3.0596	3.0176	1	0
NEO225	Yamnaya	58.17	13.57	3750	H1H2	fastq_samples	0.1738	1.9485	3.0153	0	1
VK428	Yamnaya	57.34	18.19	975	H1H1	fastq_samples	0.5328	2.4873	2.1332	-2	-2
RISE547	Yamnaya	46.54	43.7	4710.5	H1H1	fastq_samples	0.4896	3.2631	3.1731	1	0
NEO872	Admixed	55.9	9.99	3979	H1H1	fastq_samples	1.0709	2.9072	1.9893	-2	-2
NEO163	Hunter-Gatherer (E)	53	40.4	5603	H1H1	fastq_samples	0.6389	2.3645	2.0723	-2	-2
RISE492	Asia	53.15	91.05	2252.5	H1H1	fastq_samples	0.6436	4.5944	4.7949	-2	-2
NEO521	Hunter-Gatherer (E)	48.4	35.16	8264	H1H1	fastq_samples	0.6118	2.4843	2.2674	-2	-2
NEO496	Admixed	48.2	35.22	10655	NA	fastq_samples	10.6644	8.282	7.4175	-2	-2
VK144	Yamnaya	51.76	-1.26	1010	H1H2	fastq_samples	1.1867	4.5016	4.6646	-2	-2
VK489	Yamnaya	58.17	22.25	1100	H1H1	fastq_samples	0.2032	2.1134	2.1036	0	0
NEO669	Hunter-Gatherer (W)	44.56	22.03	7950	H1H1	fastq_samples	0.5713	2.2154	2.3048	-2	-2
VK242	Admixed	61.85	-6.8	250	H1H1	fastq_samples	0.3256	2.0084	2.1769	0	0
VK264	Yamnaya	50.67	-2.47	953	H2H2	fastq_samples	0.2479	2.0993	3.9193	0	2
