Sample	Population	Latitude	Longitude	Age (BP)	Inversion	Datatype	Genome-Wide Std Dev	H1 Avg CN	H2 Avg CN	H1D	H2D
VK439	Yamnaya	57.34	18.19	975	H1H1	fastq_samples	0.6795	1.9579	2.1309	-2	-2
NEO834	Admixed	41.87	13.28	7403	H1H1	fastq_samples	0.8716	2.2453	2.4836	-2	-2
NEO183	Admixed	56.78	40.45	5458	H1H1	fastq_samples	1.0567	2.7436	2.3302	-2	-2
NEO522	Admixed	48.31	35.14	6053	H1H1	fastq_samples	0.7013	2.1914	2.4861	-2	-2
NEO147	Early Farmer	46.37	20.42	6724	H1H2	fastq_samples	0.5442	2.4571	3.1155	-2	-2
VK479	Yamnaya	57.63	18.28	975	H1H1	fastq_samples	0.2288	2.0077	2.0684	0	0
VK141	Yamnaya	55.5	10.33	900	H1H2	fastq_samples	0.2472	2.0368	1.9941	0	0
VK543	Yamnaya	53.51	-10.13	1000	H1H1	fastq_samples	0.2866	2.1328	2.2506	0	0
VK292	Yamnaya	54.87	10.72	900	H1H2	fastq_samples	0.9688	2.3528	3.8449	-2	-2
VK166	Yamnaya	51.76	-1.26	1010	H1H2	fastq_samples	0.163	3.9134	4.7458	-1	-1
VK129	Yamnaya	65.79	-17.34	900	H1H1	fastq_samples	0.1631	2.0119	2.0312	0	0
NEO181	Admixed	56.78	40.45	6034	H1H1	fastq_samples	1.2529	2.4236	2.3933	-2	-2
VK323	Yamnaya	55.33	8.76	900	H1H2	fastq_samples	0.2364	2.9743	3.9049	1	1
VK534	Early Farmer	41.42	15.58	800	H1H1	fastq_samples	0.231	2.0775	2.0308	0	0
VK539	Yamnaya	51.37	31.18	800	H1H2	fastq_samples	0.2322	2.0048	2.9598	0	1
VK520	Yamnaya	69.65	18.13	900	H1H2	fastq_samples	0.2204	1.9878	3.0039	0	1
NEO856	Hunter-Gatherer (W)	56.37	10.64	6777	H1H1	fastq_samples	0.4116	2.2118	2.1662	0	0
VK450	Yamnaya	57.63	18.28	975	H1H1	fastq_samples	0.6724	5.3673	4.1567	-2	-2
VK314	Yamnaya	55.05	10.53	1075	H1H1	fastq_samples	0.5636	2.1704	2.1285	-2	-2
VK487	Yamnaya	58.17	22.25	1100	H1H1	fastq_samples	0.1939	2.8979	3.1506	1	0
VK146	Yamnaya	51.76	-1.26	1010	H1H1	fastq_samples	0.2536	3.231	3.0054	1	0
VK171	Yamnaya	53.3	-4.22	850	H1H1	fastq_samples	0.6833	3.7703	3.5195	-2	-2
VK95	Yamnaya	65.61	-17.16	750	H1H1	fastq_samples	0.2704	3.8165	3.7044	2	0
VK309	Yamnaya	58.38	13.65	800	H1H1	fastq_samples	0.5115	2.1907	2.2548	-2	-2
VK324	Yamnaya	55.33	8.76	938	H2H2	fastq_samples	0.2237	2.0245	3.9339	0	2
NEO641	Early Farmer	50.27	20.45	5132	H1H2	fastq_samples	0.5249	2.0531	3.1893	-2	-2
NEO195	Hunter-Gatherer (E)	56.78	40.45	5749	H1H1	fastq_samples	0.3675	1.9929	2.1251	0	0
NEO737	Yamnaya	55.23	11.3	4106	H1H1	fastq_samples	0.825	3.7806	4.2403	-2	-2
RISE512	Asia	53.46	85.45	3322	H1H1	fastq_samples	0.4249	2.0955	2.1417	0	0
VK526	Yamnaya	65.97	12.27	1000	H1H2	fastq_samples	0.2216	2.0347	2.9501	0	1
